,datePublished,ticker,title,description,date
30,2020-06-30T01:32:00Z,q=S&P 500&,2 Little Caesars employees fired after Ohio couple finds pepperoni swastika on pizza - KTLA,"An Ohio couple say they were shocked and disappointed when they opened their ready-made pizza to see pepperonis arranged in the shape of a reverse swastika Saturday. “Things like this are keeping hate alive in this world,” Jason Laska told CNN. “We all need t…",2020-06-29
31,2020-06-30T01:22:34Z,q=S&P 500&,"Microsoft, Ford, Pepsi Join Facebook, Instagram Ad Boycott - Hollywood Reporter",Almost 250 companies have signed up to the #StopHateForProfit campaign that is pushing for the social media giant to tackle hate speech and misinformation on its platforms.,2020-06-29
32,2020-06-30T00:34:47Z,q=S&P 500&,U.S. airlines band together to require passengers to complete health assessments - CNBC Television,"CNBC's Phil LeBeau reports on the latest measures from major U.S airline carriers to combat the coronavirus pandemic, and to assuage anxiety among passengers...",2020-06-29
33,2020-06-30T00:19:11Z,q=S&P 500&,Las Vegas Workers Sue Casinos Over Covid-19 Safety - The Wall Street Journal,"Owners of Harrah’s, MGM Grand didn’t adequately protect employees from getting sick, lawsuit says",2020-06-29
34,2020-06-30T00:17:44Z,q=S&P 500&,One coronavirus benefit ends earlier in July than expected. Here's everything that goes away - CNET,The CARES Act benefits that helped many Americans with economic hardships are set to expire this month.,2020-06-29
35,2020-06-30T00:17:22Z,q=S&P 500&,"Dow Jones Futures: Boeing, Apple, Tesla Lead Coronavirus Stock Market Rally; Lululemon, Micron, In Focus Late - Investor's Business Daily","Dow Jones futures: The coronavirus stock market rally rebounded Monday, led by Boeing, Apple and Tesla. Lululemon and Micron rose late on news.",2020-06-29
36,2020-06-29T23:59:11Z,q=S&P 500&,Lululemon buys interactive home gym startup Mirror for $500 million - Engadget,Lululemon is dipping into home workout tech by acquiring Mirror for $500 million.,2020-06-29
37,2020-06-29T23:32:50Z,q=S&P 500&,"'We had a lot of encouraging signs today,' Jim Cramer says - CNBC Television","""We had a lot of encouraging signs today, but keep in mind that this market loves veering from one extreme to the other,"" the ""Mad Money"" host said.",2020-06-29
38,2020-06-29T23:18:00Z,q=S&P 500&,"Xilinx increases forecast after easing of restrictions on Chinese companies, stock heads higher - MarketWatch",,2020-06-29
39,2020-06-29T23:00:00Z,q=S&P 500&,Fresh Express bagged salads recalled after more than 200 illnesses reported - NBC News,Fresh Express bagged salads were recalled in at least 30 states after they were linked with illnesses in more than 200 people.,2020-06-29
40,2020-06-29T22:54:44Z,q=S&P 500&,Financial watchdog lifts restrictions on Wirecard - BBC News,Thousands of people were barred from using their cash cards because of the collapse of Wirecard.,2020-06-29
41,2020-06-29T22:53:03Z,q=S&P 500&,"Cirque Du Soleil Files For Bankruptcy Protection, Vows To Return “Brighter Than Ever” - Deadline","The world’s largest contemporary circus producer is folding up its tents — for now. Cirque du Soleil said Monday that it has filed for bankruptcy protection, saying, “We have no choice but to take a pause for a little while.” The Montreal-based organization’s…",2020-06-29
42,2020-06-29T22:18:12Z,q=S&P 500&,"Encore announces plan to furlough approximately 3,000 employees - WCVB Boston",Casinos could be allowed reopen as early as next week in Massachusetts.,2020-06-29
43,2020-06-29T22:06:38Z,q=S&P 500&,Coronavirus: Costco eliminates half-sheet cakes due to COVID-19 - Deseret News,Costco no longer sells $20 sheet cakes. Here’s why,2020-06-29
